"IndID","Loc","BLen","BWdth","BVeins","BSpines","SpLen","NodeLen","LLen","LWdth","LTeeth","ASFilLen","ASAnthLen","ASApenLen","PSFilLen","PSAnthLen","LD1","LD2"
"K1","Kufranjah",4.8,0.4,3,2,1,1.3,7,1,4,1.3,0.5,0.5,1.2,0.5,2.36830135544607,-0.210454153646129
"K2","Kufranjah",5,0.5,5,2,1,1.6,7,1,5,1.3,0.5,0.5,1.18888888888889,0.5,2.72276306163099,0.513581870087313
"K3","Kufranjah",5.4,0.4,3.66666666666667,2,1,1.5,9,1.1,4,1.2,0.5,0.6,1.1,0.5,4.03449160177238,2.33485088384348
"K4","Kufranjah",5.6,0.4,3,2,1.2,1.6,8.5,0.9,4,1.3,0.5,0.5,1.2,0.5,4.40951569463485,-0.588076197806468
"K5","Kufranjah",5.5,0.4,3,2,1.1,1.3,7.5,0.7,5,1.2,0.4,0.5,1.1,0.5,3.39262627042505,0.441863399177934
"K6","Kufranjah",5.2,0.5,3,2,0.9,1.8,10,1.2,3,1.3,0.5,0.5,1.1,0.511111111111111,4.17149082105455,1.11064330164893
"K7","Kufranjah",5.9,0.4,3,3,0.9,1.8,8,1,4,1.3,0.5,0.6,1.1,0.6,5.75579724643424,1.58814728797268
"K8","Kufranjah",5.7,0.5,5,2,1.3,1.6,8,1.2,4.05555555555556,1.2,0.5,0.5,1.4,0.5,4.05931012897762,0.633527131674245
"K9","Kufranjah",4.9,0.4,3,2,1,1.6,9.1,0.8,5,1.3,0.6,0.6,1.2,0.6,4.06274506586155,1.65095857361245
"K10","Kufranjah",5.9,0.5,5,2,1.5,2,10,1.2,4,1.3,0.5,0.5,1.2,0.4,5.01876108420734,-1.56890139195803
"K11","Kufranjah",5.4,0.6,3,3,0.9,1.5,7.4,1,5,1.2,0.6,0.6,1.1,0.6,2.96428864167433,1.09437748041493
"K12","Kufranjah",6.1,0.6,5,3,1.2,1.5,6.6,0.7,3,1.2,0.6,0.5,1.1,0.5,3.23136357201551,0.393465599504887
"K13","Kufranjah",5.5,0.6,5,3,0.9,1.4,7.2,0.8,5,1.3,0.5,0.5,1.2,0.5,1.72602991311221,0.866731398591987
"K14","Kufranjah",5.8,0.5,5,2,1.2,1.3,8.1,0.9,5,1.1,0.5,0.5,1.4,0.5,3.31059899314484,2.27829514451942
"K15","Kufranjah",5.3,0.5,3,2,1.1,1.5,9,1,4,1.1,0.6,0.5,1.3,0.4,4.12132470347964,1.97543715481803
"K16","Kufranjah",5.6,0.4,3,2,1.3,1.6,7.4,1.2,3,1.2,0.5,0.6,1.1,0.5,4.96319735772466,0.0438181572829867
"K17","Kufranjah",5.7,0.4,3,2,1.3,1.4,6.5,1.1,3,1.3,0.5,0.6,1.1,0.6,3.68502963467981,-1.33673779863865
"K18","Kufranjah",5.9,0.4,3,2,1.2,1.5,6.8,0.8,3,1.1,0.5,0.5,1.2,0.5,5.58648430917514,1.75016270152697
"K19","Kufranjah",5.1,0.5,3,3,0.9,1.2,7.1,1,4,1.2,0.4,0.5,1.3,0.5,2.41967929572232,1.61928516205666
