"","LD1","LD2","desc","F","P"
"BLen",0.568,-0.198,"Bract Length",20.636,0
"BWdth",-1.644,-0.487,"Bract Width",121.986,0
"BVeins",-0.255,0.482,"Veins per bract",14.529,0
"BSpines",-0.034,-0.309,"Lateral spines",57.277,0
"SpLen",-0.074,-1.594,"Longest spine length",43.921,0
"NodeLen",2.309,0.701,"Internode length",169.265,0
"LLen",-0.105,0.349,"Leaf length",1.89,0.161
"LWdth",-0.185,-0.458,"Leaf width",0.443,0.644
"LTeeth",-0.137,-0.343,"Teeth per leaf",0.417,0.661
"ASFilLen",-0.378,-0.799,"Filament length",3.497,0.037
"ASAnthLen",-0.085,-0.178,"Anther length",0.057,0.944
"ASApenLen",0.18,0.597,"Appendage length",1.326,0.274
"PSFilLen",0.227,0.419,"Filament length",0.147,0.864
"PSAnthLen",0.01,0.005,"Anther length",0.765,0.47
