IndID,Loc,BLen,BWdth,BVeins,BSpines,SpLen,NodeLen,LLen,LWdth,LTeeth,ASFilLen,ASAnthLen,ASApenLen,PSFilLen,PSAnthLen
K1,Kufranjah,4.8,0.4,3,2,1,1.3,7,1,4,1.3,0.5,0.5,1.2,0.5
K2,Kufranjah,5,0.5,5,2,1,1.6,7,1,5,1.3,0.5,0.5,1.1,0.5
K3,Kufranjah,5.4,0.4,3,2,1,1.5,9,1.1,4,1.2,0.5,0.6,1.1,0.5
K4,Kufranjah,5.6,0.4,3,2,1.2,1.6,8.5,0.9,4,1.3,0.5,0.5,1.2,0.5
K5,Kufranjah,5.5,0.4,3,2,1.1,1.3,7.5,0.7,5,1.2,0.4,0.5,1.1,0.5
K6,Kufranjah,5.2,0.5,3,2,0.9,1.8,10,1.2,3,1.3,0.5,0.5,1.1,0.5
K7,Kufranjah,5.9,0.4,3,3,0.9,1.8,8,1,4,1.3,0.5,0.6,1.1,0.6
K8,Kufranjah,5.7,0.5,5,2,1.3,1.6,8,1.2,5,1.2,0.5,0.5,1.4,0.5
K9,Kufranjah,4.9,0.4,3,2,1,1.6,9.1,0.8,5,1.3,0.6,0.6,1.2,0.6
K10,Kufranjah,5.9,0.5,5,2,1.5,2,10,1.2,4,1.3,0.5,0.5,1.2,0.4
K11,Kufranjah,5.4,0.6,3,3,0.9,1.5,7.4,1,5,1.2,0.6,0.6,1.1,0.6
K12,Kufranjah,6.1,0.6,5,3,1.2,1.5,6.6,0.7,3,1.2,0.6,0.5,1.1,0.5
K13,Kufranjah,5.5,0.6,5,3,0.9,1.4,7.2,0.8,5,1.3,0.5,0.5,1.2,0.5
K14,Kufranjah,5.8,0.5,5,2,1.2,1.3,8.1,0.9,5,1.3,0.5,0.5,1.4,0.5
K15,Kufranjah,5.3,0.5,3,2,1.1,1.5,9,1,4,1.2,0.6,0.5,1.3,0.4
K16,Kufranjah,5.6,0.4,3,2,1.3,1.6,7.4,1.2,3,1.2,0.5,0.6,1.1,0.5
K17,Kufranjah,5.7,0.4,3,2,1.3,1.4,6.5,1.1,3,1.3,0.5,0.6,1.1,0.6
K18,Kufranjah,5.9,0.4,3,2,1.2,1.5,6.8,0.8,3,1.1,0.5,0.5,1.2,0.5
K19,Kufranjah,5.1,0.5,3,3,0.9,1.2,7.1,1,4,1.2,0.4,0.5,1.3,0.5
D1,DeadSea,5.4,0.5,5,3,1.3,1.5,8.2,1,4,1.2,0.5,0.5,1.1,0.5
D2,DeadSea,4.8,0.5,3,3,1,1.2,7.2,0.9,4,1.3,0.5,0.5,1.2,0.4
D3,DeadSea,5.9,0.6,3,2,1.1,1.4,7.9,0.8,5,1.3,0.5,0.5,1.1,0.5
D4,DeadSea,5.8,0.4,5,2,1.3,1.8,6,1,3,1.3,0.4,0.5,1.1,0.5
D5,DeadSea,5.2,0.6,3,3,1,1.2,10,1.2,3,1.2,0.5,0.5,1.1,0.6
