"IndID","Loc","BLen","BWdth","BVeins","BSpines","SpLen","NodeLen","LLen","LWdth","LTeeth","ASFilLen","ASAnthLen","ASApenLen","PSFilLen","PSAnthLen","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14"
"K1","Kufranjah",4.8,0.4,3,2,1,1.3,7,1,4,1.3,0.5,0.5,1.2,0.5,1.11248111065612,0.848231948627429,-0.639509814725703,0.125937581961998,-0.827123291490121,0.0347063564404351,0.256585369625828,0.308728911765865,-1.30717759204065,-0.101048372390689,-0.11774068291985,0.0565800191907593,-0.257597557445397,0.0770860558952213
"K2","Kufranjah",5,0.5,5,2,1,1.6,7,1,5,1.3,0.5,0.5,1.18888888888889,0.5,0.655821314269445,0.989800101679579,0.528370755543394,-0.71475357554528,-0.773616177777171,0.655197181546396,0.207676890860459,-0.820694186875193,-0.0862677654348865,0.280540320294795,-0.967763788759804,0.35127003088195,0.335015634870119,-0.00584710295464518
"K3","Kufranjah",5.4,0.4,3.66666666666667,2,1,1.5,9,1.1,4,1.2,0.5,0.6,1.1,0.5,1.80301352041111,-1.08038338909028,-0.775629360329339,0.57975783584485,0.238860643487659,1.14920992574945,0.156615570784524,0.586234424715675,0.142606842839858,0.73785367804048,-0.242528168076261,0.4895206819635,0.374709189171377,-0.203158186023879
"K4","Kufranjah",5.6,0.4,3,2,1.2,1.6,8.5,0.9,4,1.3,0.5,0.5,1.2,0.5,1.95016106397501,0.610872757797193,-0.497884995368442,0.0130042591957024,-0.874991903976611,-0.285414944390964,-0.273387649390179,-0.152868059836066,-0.370324464794192,0.303384074165345,0.849349774572446,-0.171047066174504,-0.108206431918574,0.0390252892808824
"K5","Kufranjah",5.5,0.4,3,2,1.1,1.3,7.5,0.7,5,1.2,0.4,0.5,1.1,0.5,1.58806799584432,1.33333377020337,1.18014623192628,1.07322623522229,-1.38694135947807,1.68207201336292,-0.347062711385059,0.922372902997767,0.0758998439768496,0.0876412613793547,1.25408117974487,0.416092431428783,-0.239953060140247,0.282228144495371
"K6","Kufranjah",5.2,0.5,3,2,0.9,1.8,10,1.2,3,1.3,0.5,0.5,1.1,0.511111111111111,1.42833529762602,-1.44252134736078,-1.69753344368763,1.08353484039952,-1.38933951741972,-0.434672947934598,0.0214148821458784,-0.594685263568598,-0.847810401642824,0.339760467220673,0.103071031393314,-0.0972993577151872,0.67577268659744,0.208175292018179
"K7","Kufranjah",5.9,0.4,3,3,0.9,1.8,8,1,4,1.3,0.5,0.6,1.1,0.6,1.64611505376692,0.450544445381609,-2.12996293803402,1.0971777373312,0.0924169782504924,1.06846821506879,0.877999951993626,-0.194414910663123,0.937743601445283,-0.276881401708689,0.410720522969399,-0.104386498904293,0.763810120347707,-0.475318846190401
"K8","Kufranjah",5.7,0.5,5,2,1.3,1.6,8,1.2,4.05555555555556,1.2,0.5,0.5,1.4,0.5,1.64896407490535,-0.20650005486552,0.665459356480325,-1.30766223008314,-0.584312039823609,-1.68433209508685,-0.234681227782875,0.765096186222982,0.90921764126559,0.0378125184758622,-1.51125803566427,-0.0300903154304148,0.17244348859147,-0.16815770563568
"K9","Kufranjah",4.9,0.4,3,2,1,1.6,9.1,0.8,5,1.3,0.6,0.6,1.2,0.6,1.38869399823002,1.64414489825047,-2.70962937259199,-0.480955618478183,0.70330871117077,1.2708295294166,-1.03420259405033,-0.207628431009371,0.617665830869984,0.900334369655907,0.119037051486179,0.375406715489614,-0.047675434397178,0.121440892711376
"K10","Kufranjah",5.9,0.5,5,2,1.5,2,10,1.2,4,1.3,0.5,0.5,1.2,0.4,2.27747143443162,-1.70999423586933,1.00739925191938,-1.37369519493279,-0.94725698598635,-0.834871176231466,0.0559672511722967,-1.24167426825318,0.101968054425211,1.31141507020467,-0.0608556451575105,-0.816573770447138,0.229138381949233,-0.180773440411102
"K11","Kufranjah",5.4,0.6,3,3,0.9,1.5,7.4,1,5,1.2,0.6,0.6,1.1,0.6,1.09581601821622,0.659829779844875,-1.9254250948307,0.588892310188099,1.63161997493264,1.90751387542799,-0.7639671542339,-0.0287342554142618,0.769780310853969,-0.780485189161115,-0.633853120122866,-0.0456156450722462,0.0878140600678042,0.141350616374341
"K12","Kufranjah",6.1,0.6,5,3,1.2,1.5,6.6,0.7,3,1.2,0.6,0.5,1.1,0.5,1.28751972937658,0.892851755158302,0.98138218264894,1.6963500954828,2.10503038741858,-1.1887530337488,-0.613402162752456,-1.28416135119776,-0.110064204589481,0.403260197610019,0.205694774897666,0.149827189453969,0.290712757114986,-0.27377595098568
